Paper,Year,Question Number,Question,Tags
IIA,2019,1a,Explain the role of normal series of age gradation and age class in forest management.,
IA,2019,1a,Write scientific names of four major tree species in each of Southern Tropical Semi-Evergreen Forests and Northern Tropical Wet-Evergreen Forests.,
IIA,2020,1a,What are the key decision parameters in an uneven-aged forest management ?,
IA,2020,1a,Define silviculture. Relate the applications of silviculture to different branches of Forestry.,
IIA,2021,1a,"Describe the criteria and indicators of sustainable forest management. ",
IA,2021,1a,Why is it difficult to carry out afforestation programmes in cold deserts ?,
IIA,2022,1a,"What is the purpose of classifying forests ? How are the forests classified
for silvicultural management ?",
IA,2022,1a,Improvement felling is not considered as a silvicultural system. Why?,
IIA,2023,1a,Differentiate between forest working plan and forest management plan.,
IA,2023,1a,"The shoot portion of seedlings of some tree species like Sal and Sandal,
under natural regeneration, keeps on drying year after year but the roots remain alive. Discuss.",
IIA,2019,1b,Describe the significance of working plan and working scheme in conserving biodiversity.,
IA,2019,1b,"Write a brief account of the phenology, silvicultural characters and methods of regeneration for Dalbergia sissoo.",
IIA,2020,1b,Why should GIS be considered as a ‘Pure Science’ ?,
IA,2020,1b,Frost resistance in trees depends on the internal and external factors. Explain.,
IIA,2021,1b,“Forestry enterprise is peculiar compared to other enterprises.” Justify.,
IA,2021,1b,What factors are considered important while choosing a species under avenue plantation ?,
IIA,2022,1b,Describe the graphical method of preparation of volume table.,
IA,2022,1b,What are the major threats to mangrove forests?,
IIA,2023,1b,What is point sampling? How is it used in forest enumeration?,
IA,2023,1b,Calculate the quantity of seeds (kg) required to establish a teak plantation over an area of 10 ha.,
IIA,2019,1c,Explain Metzger’s theory of tree form and its significance in volume calculation.,
IA,2019,1c,Explain the modern nursery techniques for production of quality planting stock.,
IIA,2020,1c,How does collaborative forest management ensure community and household resilience ?,
IA,2020,1c,Explain the factors which affect the length of regeneration period in a periodic block.,
IIA,2021,1c,"“Working plan is a basic prerequisite for management of forest division.”
Discuss.",
IA,2021,1c,‘An appropriate silvicultural system promotes better regeneration of forest stand.’ Comment.,
IIA,2022,1c,"Describe the major considerations of road alignment in the plains. Explain the terms (i) Gradient, (ii) Camber, and (iii) Drainage related to roads in the hills.",
IA,2022,1c,How is the regeneration map of moist deciduous forest prepared?,
IIA,2023,1c,What are maps? How are they helpful in management of forests?,
IA,2023,1c,What are mangroves ? Write their ecological implications.,
IIA,2019,1d,Define bridge and explain different types of bridges with sketches.,
IA,2019,1d,Discuss the factors which influence the choice between natural and artificial regeneration.,
IIA,2020,1d,What are the recommended practices for strategic harvest planning ?,
IA,2020,1d,Write the adaptive characteristics of plant species of cold desert.,
IIA,2021,1d,"Differentiate Stand density and Canopy density. Mention Canopy
density classification as per Forest Survey of India.",
IA,2021,1d,Are non-native tree species an option or a threat in forest ecosystem/plantation under climate change ?,
IIA,2022,1d,“Success of commercial forest plantations depends on site-specific and strategic planning.” Justify the statement.,
IA,2022,1d,Explain the techniques for upgradation and hardening of nursery seedlings of Lagerstroemia lanceolata.,
IIA,2023,1d,"Explain briefly the reference point for measurement of diameter and girth of
tree species.",
IA,2023,1d,What is frost hole ? How does frost affect regeneration ?,
IIA,2019,1e,Describe the procedure for estimating volume of standing and felled tree.,
IA,2019,1e,What are the different types of grafting ? Explain ‘Cleft Grafting’ with neat sketches.,
IIA,2020,1e,Construction and maintenance of forest roads can be considered as an essential investment of forest growth. Comment.,
IA,2020,1e,Describe the methods of artificial regeneration of Tamarindus indica.,
IIA,2021,1e,"Explain the terms (i) True meridian, (ii) Magnetic meridian, (iii) Reduced bearing, and (iv) Fore and back bearing.",
IA,2021,1e,Do the trees of same species have different response to light conditions at different ages ?,
IIA,2022,1e,"Explain (i) Artificial Form Factor, (ii) Absolute Form Factor, (iii) Normal
Form Factor, and (iv) Form Quotient.",
IA,2022,1e,Discuss the significance of bamboo flowering.,
IIA,2023,1e,What are the objectives and principles of forest management?,
IA,2023,1e,"Write the botanical names of three tree species each of - 
(i) non-coppicers, 
(ii) poor coppicers, 
(iii) good (fair) coppicer, and 
(iv) strong coppicers",
IIA,2019,2a,Describe the method for calculation of normal growing stock with the help of yield table.,
IA,2019,2a,Write the special characteristics of Indian Irregular Shelterwood System and differentiate it from Uniform System.,
IIA,2020,2a,"What are the factors that affect a stand structure ? Describe in brief the DBH distribution in even, uneven and multi-aged normal forest stands.",
