"Scientific Name, Common name, Family",Family,Locality factors,Phenology,Silvicultural Characteristic,Regeneration,Silviculture System,Utilization
Tectona grandis (Teak) Verbenaceae,Verbenaceae,"• Naturally below 24°N latitude
• Light demander
• Tropical deciduous forest
• Fire resistant → pure teak in fire-prone localities
• Moderately wind firm
• drought sensitive","• Leaf fall → Nov-Jan
• Leaf renewal → April-June
• Flowering → June-Sept
• Fruiting → Nov-Jan",• Medium Size,"• Fire → remove hard coat dormancy
• Great coppice → after fire
• Natural: Seed, Coppice
• Artificial
    ◦ Stump, Seed, Coppice
    ◦ Dona plantation
    ◦ Polybag
• Alternate wet-dry for 14 days
• Spacing: 1.8⨉1.8 m initially
• Coppice, Pollard",- Block and boundary plantation in North India,"Timber,Furniture,Construction"
"Gmelina arborea (Gamhar, White Teak) Verbenaceae",Verbenaceae,"• Sub-Himalaya to central India to peninsular India
• Assam valley
• Moist, Fertile valley
• Found alongside Teak forest","• Deciduous
• Moderate size
• Leaf fall – January to February
• Leaf renewal - March to April
• Fruiting – April to July","• Light demander
• Moderate resistance – frost, drought
• Good coppicer
• Poor root sucker","• Natural
    ◦ Seed
    ◦ coppice
• Artificial
    ◦ Seed - broadcasted
    ◦ Coppice
    ◦ Cutting — root section, stump
    ◦ Stump planting – one year old stump
• Alternate wetting and drying",,"Plywood,Household implements"
"Albizia lebbeck (Kala Siris, East Indian Walnut) Leguminosae",Leguminosae,"• All India - from Sub-Himalaya to Andaman and Nicobar Islands
• Rainfall - 80-300 cm
• Temperature - 20°C-40°C
• Altitude - upto 1500 m
• drought hardy","• LF – December – February
• LR – March – April
• Flower – April – May
• Fruit– December – February","• Light demander
• Superficial root system – susceptible to wind-throw, drought
• Moderately sensitive to frost
• Good Coppicer
• Good root sucker","• Natural
    ◦ Seed
    ◦ Coppice
    ◦ Root sucker
• Artificial
    ◦ 30 minute hot water treatment on seed
    ◦ stump - 30 cm pit, 3m ⨉ 3m",,"Cattle fodder,Gum,Fuelwood,Timber for carving,Afforestation in semi-arid areas"
Albizia procera (Safed Sirish) Leguminosae,Leguminosae,"• North India, Central India, Andaman
• along waterbodies and savannah","• Large
• Deciduous","• Drought resistant
• resistant to saline and alkaline conditions
• shade then light",,,"timber, paper, tannin, fodder, fuelwood"
Santalum album (Sandalwood) Santalaceae,Santalaceae,"• Peninsular region - Karnataka, TN, MH
• Tropical dry and moist deciduous forest
• red soil ✅
• Saline water ❌
• 60-120 cm
• 25-35°C
• Altitude- 500-1000 m
• Topography - undulating - upto moderate slope","• Small size
• Evergreen
• LR – before and after monsoon
• Flower – May – June
• Fruit – October – December","• Shed then Light
• Susceptible – frost, fire
• sustain moderate drought
• coppice, root sucker
• Root parasitism
    ◦ Derives nitrogen and phosphorus from root host with the help of Haustoria – parasite plant root, because it lacks root hair
• illicit fellings
• spike disease - by Mycoplasma
• obligatory root parasite
• hosts - Pongamia globra, Azadirachta indica, Cassia siamia","• Natural
    ◦ Seed
    ◦ Coppice
    ◦ Root sucker
• Artificial
    ◦ Direct seed sowing
    ◦ Polybag
    ◦ Stump
    ◦ Air layering
• Acid scarification",,"Perfume,Heartwood oil,Wood for chandan havan"
Salix alba (White willow),Salicaceae,"• Western Himalaya
• along riverside and Lake Banks
• ecto-mycorrhiza
• appropriate for cold desert
• origin: Europe",,• Pollarding,• nursery — stem cutting,,• cricket bat
Lagerstromia Lancelolata (Nandi Tree) Lythraceae,Lythraceae,"• with Teak, except on Laterite soil
• small, bushy tree",,,,,"• ornamental
• timber"
Semecarpus anacardium (Marking nut tree) Anacardiaceae,Anacardiaceae,"• Sub-Himalayan region
• Medium sized 
• deciduous",,,,,
Pterocarpus marsupium (Malabar kino) Leguminosae,Leguminosae,• dry deciduous tropical,,,,,"• oleo-resin ⇒ Kino gum: anti-diarrhoeal, anti-hemorrhagic
• heartwood - antibiotic, hypoglyceamic → control blood sugar"
Shorea robusta  (Sal) Dipterocarpaceae,Dipterocarpaceae,"• Above tropic of cancer (warm sub-tropical climate)
• 5-40°C
• 100-300 cm
• Altitude - upto 1000 m
• Sandy loamy soil","• Deciduous
• Medium – 10–15 m
• Round crown
• Clean Bole
• Dieback phenomena
• LF – March
• LR – February– May
• Flower – February – April
• Fruit - May - June
","• Light demander
• Moderate coppicing
• Frost – die back
• Fire hardy
• drought susceptible","• Natural – seed
• Artificial
    ◦ Direct sowing
    ◦ coppice
    ◦ Planting out - to solve die back problem","Uniform shelterwood → die back → irregular shelterwood, selection, coppice with standards","Timber,Seed oil for cooking"
